date_parsed,nama_provinsi,tahun,bulan,produksi_padi
2022-05-01,KABUPATEN BANDUNG BARAT,2022,5,8431.0
2022-06-01,KABUPATEN BANDUNG BARAT,2022,6,9817.0
2022-07-01,KABUPATEN BANDUNG BARAT,2022,7,30398.0
2022-08-01,KABUPATEN BANDUNG BARAT,2022,8,10360.0
2022-09-01,KABUPATEN BANDUNG BARAT,2022,9,4675.0
2022-10-01,KABUPATEN BANDUNG BARAT,2022,10,8660.0
2022-11-01,KABUPATEN BANDUNG BARAT,2022,11,15711.0
2022-12-01,KABUPATEN BANDUNG BARAT,2022,12,5647.0
2023-01-01,KABUPATEN BANDUNG BARAT,2023,1,6565.0
2023-02-01,KABUPATEN BANDUNG BARAT,2023,2,21940.0
2023-03-01,KABUPATEN BANDUNG BARAT,2023,3,23530.0
2023-04-01,KABUPATEN BANDUNG BARAT,2023,4,13423.0
2023-05-01,KABUPATEN BANDUNG BARAT,2023,5,7342.0
2023-06-01,KABUPATEN BANDUNG BARAT,2023,6,19078.0
2023-07-01,KABUPATEN BANDUNG BARAT,2023,7,18349.0
2023-08-01,KABUPATEN BANDUNG BARAT,2023,8,11912.0
2023-09-01,KABUPATEN BANDUNG BARAT,2023,9,7968.0
2023-10-01,KABUPATEN BANDUNG BARAT,2023,10,6254.0
2023-11-01,KABUPATEN BANDUNG BARAT,2023,11,5879.0
2023-12-01,KABUPATEN BANDUNG BARAT,2023,12,1916.3
2018-01-01,KABUPATEN BEKASI,2018,1,90703.0
2018-02-01,KABUPATEN BEKASI,2018,2,19755.0
2018-03-01,KABUPATEN BEKASI,2018,3,57781.0
2018-04-01,KABUPATEN BEKASI,2018,4,30253.0
2018-05-01,KABUPATEN BEKASI,2018,5,45327.0
2018-06-01,KABUPATEN BEKASI,2018,6,99784.0
2018-07-01,KABUPATEN BEKASI,2018,7,31396.0
2018-08-01,KABUPATEN BEKASI,2018,8,26471.0
2018-09-01,KABUPATEN BEKASI,2018,9,27920.0
2018-10-01,KABUPATEN BEKASI,2018,10,43478.0
2018-11-01,KABUPATEN BEKASI,2018,11,40999.0
2018-12-01,KABUPATEN BEKASI,2018,12,31118.0
2019-01-01,KABUPATEN BEKASI,2019,1,26176.0
2019-02-01,KABUPATEN BEKASI,2019,2,14298.0
2019-03-01,KABUPATEN BEKASI,2019,3,53293.0
2019-04-01,KABUPATEN BEKASI,2019,4,72627.0
2019-05-01,KABUPATEN BEKASI,2019,5,37911.0
2019-06-01,KABUPATEN BEKASI,2019,6,110659.0
2019-07-01,KABUPATEN BEKASI,2019,7,35339.0
2019-08-01,KABUPATEN BEKASI,2019,8,22210.0
2019-09-01,KABUPATEN BEKASI,2019,9,20227.0
2019-10-01,KABUPATEN BEKASI,2019,10,51041.0
2019-11-01,KABUPATEN BEKASI,2019,11,41863.0
2019-12-01,KABUPATEN BEKASI,2019,12,63995.0
2020-01-01,KABUPATEN BEKASI,2020,1,13977.0
2020-02-01,KABUPATEN BEKASI,2020,2,10400.02
2020-03-01,KABUPATEN BEKASI,2020,3,25084.0
2020-04-01,KABUPATEN BEKASI,2020,4,38910.0
2020-05-01,KABUPATEN BEKASI,2020,5,58577.0
2020-06-01,KABUPATEN BEKASI,2020,6,70466.0
2020-07-01,KABUPATEN BEKASI,2020,7,63032.0
2020-08-01,KABUPATEN BEKASI,2020,8,15089.0
2020-09-01,KABUPATEN BEKASI,2020,9,25525.0
2020-10-01,KABUPATEN BEKASI,2020,10,44827.0
2020-11-01,KABUPATEN BEKASI,2020,11,96751.0
2020-12-01,KABUPATEN BEKASI,2020,12,46550.0
2021-01-01,KABUPATEN BEKASI,2021,1,13865.0
2021-02-01,KABUPATEN BEKASI,2021,2,49203.0
2021-03-01,KABUPATEN BEKASI,2021,3,51939.0
2021-04-01,KABUPATEN BEKASI,2021,4,57399.0
2021-05-01,KABUPATEN BEKASI,2021,5,38611.0
2021-06-01,KABUPATEN BEKASI,2021,6,94537.0
2021-07-01,KABUPATEN BEKASI,2021,7,83369.0
2021-08-01,KABUPATEN BEKASI,2021,8,12477.0
2021-09-01,KABUPATEN BEKASI,2021,9,28088.0
2021-10-01,KABUPATEN BEKASI,2021,10,36416.0
2021-11-01,KABUPATEN BEKASI,2021,11,35437.0
2021-12-01,KABUPATEN BEKASI,2021,12,86245.0
2022-01-01,KABUPATEN BEKASI,2022,1,22229.0
2022-02-01,KABUPATEN BEKASI,2022,2,20118.0
2022-03-01,KABUPATEN BEKASI,2022,3,62986.0
2022-04-01,KABUPATEN BEKASI,2022,4,44571.0
2022-05-01,KABUPATEN BEKASI,2022,5,48568.0
2022-06-01,KABUPATEN BEKASI,2022,6,110930.15000000001
2022-07-01,KABUPATEN BEKASI,2022,7,39057.0
2022-08-01,KABUPATEN BEKASI,2022,8,32115.0
2022-09-01,KABUPATEN BEKASI,2022,9,28194.0
2022-10-01,KABUPATEN BEKASI,2022,10,41099.0
2022-11-01,KABUPATEN BEKASI,2022,11,67742.0
2022-12-01,KABUPATEN BEKASI,2022,12,37482.0
2023-01-01,KABUPATEN BEKASI,2023,1,23353.0
2023-02-01,KABUPATEN BEKASI,2023,2,36154.0
2023-03-01,KABUPATEN BEKASI,2023,3,51879.0
2023-04-01,KABUPATEN BEKASI,2023,4,32076.0
2023-05-01,KABUPATEN BEKASI,2023,5,60602.0
2023-06-01,KABUPATEN BEKASI,2023,6,74163.0
2023-07-01,KABUPATEN BEKASI,2023,7,56122.0
2023-08-01,KABUPATEN BEKASI,2023,8,16518.0
2023-09-01,KABUPATEN BEKASI,2023,9,30863.0
2023-10-01,KABUPATEN BEKASI,2023,10,25562.0
2023-11-01,KABUPATEN BEKASI,2023,11,49921.0
2023-12-01,KABUPATEN BEKASI,2023,12,40127.0
2018-01-01,KABUPATEN BOGOR,2018,1,25475.0
2018-02-01,KABUPATEN BOGOR,2018,2,25290.0
2018-03-01,KABUPATEN BOGOR,2018,3,44928.0
2018-04-01,KABUPATEN BOGOR,2018,4,39470.0
2018-05-01,KABUPATEN BOGOR,2018,5,36418.0
2018-06-01,KABUPATEN BOGOR,2018,6,24022.0
2018-07-01,KABUPATEN BOGOR,2018,7,41728.0
2018-08-01,KABUPATEN BOGOR,2018,8,30630.0
2018-09-01,KABUPATEN BOGOR,2018,9,23307.0
2018-10-01,KABUPATEN BOGOR,2018,10,19488.0
2018-11-01,KABUPATEN BOGOR,2018,11,23462.0
2018-12-01,KABUPATEN BOGOR,2018,12,14464.0
2019-01-01,KABUPATEN BOGOR,2019,1,11762.0
2019-02-01,KABUPATEN BOGOR,2019,2,16734.0
2019-03-01,KABUPATEN BOGOR,2019,3,53452.0
2019-04-01,KABUPATEN BOGOR,2019,4,54855.0
2019-05-01,KABUPATEN BOGOR,2019,5,18766.0
