nama_kabupaten_kota,tanggal,forecast
KABUPATEN SUBANG,2023-06-01,67200.49318799972
KABUPATEN SUBANG,2023-07-01,65292.934033620084
KABUPATEN SUBANG,2023-08-01,88535.24243237838
KABUPATEN SUBANG,2023-09-01,76052.65506704923
KABUPATEN SUBANG,2023-10-01,131160.10066707266
KABUPATEN SUBANG,2023-11-01,110746.94475008395
KABUPATEN SUBANG,2023-12-01,55623.10274651592
KABUPATEN SUKABUMI,2023-01-01,16594.007799922274
KABUPATEN SUKABUMI,2023-02-01,66648.02677443998
KABUPATEN SUKABUMI,2023-03-01,95753.31175121955
KABUPATEN SUKABUMI,2023-04-01,54497.71357157626
KABUPATEN SUKABUMI,2023-05-01,34569.328795154725
KABUPATEN SUKABUMI,2023-06-01,60201.361812993506
KABUPATEN SUKABUMI,2023-07-01,56197.69116990046
KABUPATEN SUKABUMI,2023-08-01,44075.84867576972
KABUPATEN SUKABUMI,2023-09-01,28410.282622600007
KABUPATEN SUKABUMI,2023-10-01,21608.1340807694
KABUPATEN SUKABUMI,2023-11-01,15845.638929969437
KABUPATEN SUKABUMI,2023-12-01,11643.165555899746
KABUPATEN SUMEDANG,2023-01-01,10080.239715577123
KABUPATEN SUMEDANG,2023-02-01,10965.887335070145
KABUPATEN SUMEDANG,2023-03-01,45992.917784535406
KABUPATEN SUMEDANG,2023-04-01,42898.628851671194
KABUPATEN SUMEDANG,2023-05-01,17854.3193613302
KABUPATEN SUMEDANG,2023-06-01,13875.403187070593
KABUPATEN SUMEDANG,2023-07-01,42507.61418332127
KABUPATEN SUMEDANG,2023-08-01,31737.70451743312
KABUPATEN SUMEDANG,2023-09-01,17229.880688002275
KABUPATEN SUMEDANG,2023-10-01,11309.512065831726
KABUPATEN SUMEDANG,2023-11-01,17483.814922412515
KABUPATEN SUMEDANG,2023-12-01,15629.40122362653
KABUPATEN TASIKMALAYA,2023-01-01,21839.850495366987
KABUPATEN TASIKMALAYA,2023-02-01,38966.06534043991
KABUPATEN TASIKMALAYA,2023-03-01,41012.56254493355
KABUPATEN TASIKMALAYA,2023-04-01,36937.22270405097
KABUPATEN TASIKMALAYA,2023-05-01,37067.820118028765
KABUPATEN TASIKMALAYA,2023-06-01,34993.96246692497
KABUPATEN TASIKMALAYA,2023-07-01,41527.56720435888
KABUPATEN TASIKMALAYA,2023-08-01,33488.62672459754
KABUPATEN TASIKMALAYA,2023-09-01,31947.516506387088
KABUPATEN TASIKMALAYA,2023-10-01,21568.771721162422
KABUPATEN TASIKMALAYA,2023-11-01,31423.549611614708
KABUPATEN TASIKMALAYA,2023-12-01,19879.611036396785
