id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;produksi_padi;satuan;tahun
68;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;AGUSTUS;45567;TON GABAH KERING GILING;2018
69;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;SEPTEMBER;35375;TON GABAH KERING GILING;2018
70;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;OKTOBER;32497;TON GABAH KERING GILING;2018
71;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;NOVEMBER;30406;TON GABAH KERING GILING;2018
72;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;DESEMBER;22541;TON GABAH KERING GILING;2018
73;32;JAWA BARAT;3207;KABUPATEN CIAMIS;JANUARI;7780;TON GABAH KERING GILING;2018
74;32;JAWA BARAT;3207;KABUPATEN CIAMIS;FEBRUARI;19647;TON GABAH KERING GILING;2018
75;32;JAWA BARAT;3207;KABUPATEN CIAMIS;MARET;78566;TON GABAH KERING GILING;2018
76;32;JAWA BARAT;3207;KABUPATEN CIAMIS;APRIL;28560;TON GABAH KERING GILING;2018
77;32;JAWA BARAT;3207;KABUPATEN CIAMIS;MEI;20985;TON GABAH KERING GILING;2018
78;32;JAWA BARAT;3207;KABUPATEN CIAMIS;JUNI;6688;TON GABAH KERING GILING;2018
79;32;JAWA BARAT;3207;KABUPATEN CIAMIS;JULI;38643;TON GABAH KERING GILING;2018
80;32;JAWA BARAT;3207;KABUPATEN CIAMIS;AGUSTUS;49668;TON GABAH KERING GILING;2018
81;32;JAWA BARAT;3207;KABUPATEN CIAMIS;SEPTEMBER;38563;TON GABAH KERING GILING;2018
82;32;JAWA BARAT;3207;KABUPATEN CIAMIS;OKTOBER;15968;TON GABAH KERING GILING;2018
83;32;JAWA BARAT;3207;KABUPATEN CIAMIS;NOVEMBER;7277;TON GABAH KERING GILING;2018
84;32;JAWA BARAT;3207;KABUPATEN CIAMIS;DESEMBER;3867;TON GABAH KERING GILING;2018
85;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;JANUARI;4134;TON GABAH KERING GILING;2018
86;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;FEBRUARI;20994;TON GABAH KERING GILING;2018
87;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;MARET;59293;TON GABAH KERING GILING;2018
88;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;APRIL;39722;TON GABAH KERING GILING;2018
89;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;MEI;18270;TON GABAH KERING GILING;2018
90;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;JUNI;26567;TON GABAH KERING GILING;2018
91;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;JULI;59914;TON GABAH KERING GILING;2018
92;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;AGUSTUS;31322;TON GABAH KERING GILING;2018
93;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;SEPTEMBER;21762;TON GABAH KERING GILING;2018
94;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;OKTOBER;8687;TON GABAH KERING GILING;2018
95;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;NOVEMBER;16132;TON GABAH KERING GILING;2018
96;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;DESEMBER;7647;TON GABAH KERING GILING;2018
97;32;JAWA BARAT;3209;KABUPATEN CIREBON;JANUARI;13095;TON GABAH KERING GILING;2018
98;32;JAWA BARAT;3209;KABUPATEN CIREBON;FEBRUARI;24628;TON GABAH KERING GILING;2018
99;32;JAWA BARAT;3209;KABUPATEN CIREBON;MARET;78763;TON GABAH KERING GILING;2018
100;32;JAWA BARAT;3209;KABUPATEN CIREBON;APRIL;113219;TON GABAH KERING GILING;2018
101;32;JAWA BARAT;3209;KABUPATEN CIREBON;MEI;57751;TON GABAH KERING GILING;2018
102;32;JAWA BARAT;3209;KABUPATEN CIREBON;JUNI;16995;TON GABAH KERING GILING;2018
103;32;JAWA BARAT;3209;KABUPATEN CIREBON;JULI;49779;TON GABAH KERING GILING;2018
104;32;JAWA BARAT;3209;KABUPATEN CIREBON;AGUSTUS;56345;TON GABAH KERING GILING;2018
105;32;JAWA BARAT;3209;KABUPATEN CIREBON;SEPTEMBER;57903;TON GABAH KERING GILING;2018
106;32;JAWA BARAT;3209;KABUPATEN CIREBON;OKTOBER;56791;TON GABAH KERING GILING;2018
107;32;JAWA BARAT;3209;KABUPATEN CIREBON;NOVEMBER;20296;TON GABAH KERING GILING;2018
108;32;JAWA BARAT;3209;KABUPATEN CIREBON;DESEMBER;7001;TON GABAH KERING GILING;2018
109;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;JANUARI;5500;TON GABAH KERING GILING;2018
110;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;FEBRUARI;33994;TON GABAH KERING GILING;2018
111;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;MARET;168178;TON GABAH KERING GILING;2018
112;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;APRIL;42130;TON GABAH KERING GILING;2018
113;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;MEI;26669;TON GABAH KERING GILING;2018
114;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;JUNI;42530;TON GABAH KERING GILING;2018
115;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;JULI;122552;TON GABAH KERING GILING;2018
